TERM,TERM_REDUCED,PHRASE,DOCUMENT,FREQ
selfish:0:mining:1:bitcoin,selfish bitcoin mining,Selfish mining bitcoin,Selfish Mining Simulator for Cryptocurrencies,2
selfish:0:mining,selfish mining,Selfish mining,Selfish Mining Simulator for Cryptocurrencies,2
blockchain,blockchain,blockchain,Selfish Mining Simulator for Cryptocurrencies,2
mining:0:cryptocurrency,cryptocurrency mining,mining cryptocurrency,Selfish Mining Simulator for Cryptocurrencies,2
cryptocurrency,cryptocurrency,cryptocurrency,Selfish Mining Simulator for Cryptocurrencies,2
intelligence:2:advanced:0:research:1:projects:3:activity,advanced intelligence activity research projects,Intelligence Advanced Research Projects Activity ,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,2
activity,activity,activities,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,5
datum:0:collection,collection datum,data collection ,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,3
datum,datum,data,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,5
collection,collection,collection,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,4
dry:0:run,dry run,dry run ,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,3
run,run,run,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,2
hold,hold,held,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,2
data:0:collection:1:event,event collection data,data collection event ,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,3
data:0:collection,collection data,data collection ,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,2
data,data,data,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,4
event,event,event,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,2
successful,successful,successful,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,2
design,design,designed,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,2
end,end,end,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,2
collect,collect,collected,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,4
nist:0:release,release nist,now released by NIST ,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,2
release,release,released,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,2
roll,roll,rolled,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,4
image,image,images,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,2
fingerprint,fingerprint,fingerprint,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,6
datum:0:collection:1:deploy,collection deploy datum,deployed during the data collection,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,2
device,device,devices,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,2
capture,capture,captured,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,2
plain:0:impression:1:fingerprint:0:impression,plain impression fingerprint,plain impression fingerprint impressions ,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,2
impression,impression,impressions,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,2
palm,palm,palms,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,5
slap,slap,slaps,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,2
additionally:0:record,additionally record,additionally recorded,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,3
subject,subject,subjects,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,2
object,object,objects,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,3
nist,nist,NIST,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,2
latent,latent,latent,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,3
dry:0:run:1:participate,dry participate run,participated in the dry run,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,2
mugshot:0:style:1:face,mugshot face style,mugshot-style face ,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,2
style,style,style,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,2
fingerprint:0:roll,fingerprint roll,fingerprints rolled,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,2
friction:0:ridge,friction ridge,friction ridge,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,2
biometric,biometric,Biometrics,NIST Special Database 301 Nail to Nail (N2N) Fingerprint Challenge Dry Run,2
nail,nail,Nail,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,5
intelligence:2:advanced:0:research:1:projects:3:activity,advanced intelligence activity research projects,Intelligence Advanced Research Projects Activity ,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
activity,activity,Activity,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,5
data:0:collection,collection data,data collection ,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
collection,collection,collection,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,4
train:0:operator,operator train,trained operator,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
operator,operator,operator,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,3
unacclimated:0:user:1:rolled,user unacclimated rolled,rolled fingerprintfrom an unacclimated user,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
unacclimated:0:user,user unacclimated,unacclimated user,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
surface:0:area,area surface,surface area ,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
nail:0:image,nail image,image of the full nail ,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
image,image,images,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,7
design,design,design,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
device,device,devices,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,9
deploy,deploy,deployed,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
operator:0:assist,assist operator,operator-assisted ,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
assist,assist,assisted,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,4
roll,roll,rolled,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,10
fingerprint,fingerprint,fingerprint,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,10
capture,capture,captured,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,10
latent:1:live:0:scan:2:friction:0:ridge,friction scan live latent ridge,friction ridge live-scan and latent ,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
latent,latent,latent,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,4
friction:0:ridge,friction ridge,friction ridge,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,3
friction,friction,friction,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,3
ridge,ridge,ridge,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,3
challenger:0:device:1:performance,performance device challenger,performance of the Challenger devices,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
challenger:0:device,device challenger,Challenger devices,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,3
order,order,order,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,4
datum:0:collection,collection datum,data collection,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,6
datum,datum,data,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,3
study:0:participant,participant study,study participant ,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,5
study,study,study,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,4
participant,participant,participant,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,3
traditional:2:operator:0:assist:1:technique,technique traditional assist operator,traditional operator-assisted techniques ,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
technique,technique,techniques,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,4
task:0:perform,perform task,perform this task,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
task,task,task,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
n2n:1:baseline:0:dataset,n2n baseline dataset,N2N baseline datasets,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
baseline:0:dataset,baseline dataset,baseline datasets,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,3
baseline,baseline,baseline,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,5
dataset,dataset,datasets,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
different:1:fbi:0:expert,fbi different expert,different FBI expert,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
n2n:2:twice:0:capture:1:fingerprint:0:image,twice n2n fingerprint image capture,N2N fingerprint images captured twice,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
record,record,recorded,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
finger,finger,fingers,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,4
position,position,positions,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
ensure,ensure,ensure,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
4:0:2:1:4:2:slap:0:configuration,slap 4 2 configuration,4-4-2 slap configuration,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
slap,slap,slap,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,4
impression,impression,impression,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,3
right:0:left:1:thumb,thumb right left,left and right thumbs,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
left:0:hand,left hand,left hand,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
hand,hand,hand,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
process:0:repeat,process repeat,repeating the process ,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
process,process,process,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
capture:0:method,method capture,capture method ,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
right:0:hand,right hand,right hand,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
ring,ring,ring,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,3
middle,middle,middle,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
index,index,index,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,3
finger:0:ordering:1:change,ordering change finger,change the ordering of fingers ,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
finger:0:ordering,ordering finger,ordering of fingers ,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
finger:1:sequence:0:order:2:ensure,ensure order finger sequence,ensure finger sequence order,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
datum:0:collection:1:deploy,collection deploy datum,deployed during the data collection,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
challenger,challenger,challenger,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,3
generalize:0:position,generalize position,generalized positions ,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
baseline:0:device,device baseline,baseline devices ,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
100:1:acquisition:0:rate:2:achieve,rate acquisition achieve 100,achieve 100% acquisition rate,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,3
100:1:acquisition:0:rate,rate acquisition 100,100% acquisition rate,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
acquisition:0:rate,rate acquisition,acquisition rate,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
acquisition,acquisition,acquisition,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
rate,rate,rate,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
achieve,achieve,achieve,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
challenger:0:device:1:requirement,device challenger requirement,such requirements for Challenger devices,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
requirement,requirement,requirements,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
palm,palm,palm,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,3
device:0:multitude,multitude device,multitude of devices,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
object,object,objects,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,3
fingerprint:0:roll,fingerprint roll,fingerprints rolled,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
biometric:0:segmentation,biometric segmentation,biometrics segmentation,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,2
biometric,biometric,Biometrics,NIST Special Database 302 Nail to Nail (N2N) Fingerprint Challenge,3
mcml:1:parallel:0:version,mcml parallel version,parallel version of MCML ,MCSLinv: An inverse Monte Carlo code  to calculate optical scattering parameters in C++,3
angle:0:resolve:1:scattering,angle resolve scattering,Angle-Resolved Scattering ,MCSLinv: An inverse Monte Carlo code  to calculate optical scattering parameters in C++,3
resolve,resolve,Resolved,MCSLinv: An inverse Monte Carlo code  to calculate optical scattering parameters in C++,2
scattering,scattering,scattering,MCSLinv: An inverse Monte Carlo code  to calculate optical scattering parameters in C++,4
scatter,scatter,scattering,MCSLinv: An inverse Monte Carlo code  to calculate optical scattering parameters in C++,2
parameter,parameter,parameters,MCSLinv: An inverse Monte Carlo code  to calculate optical scattering parameters in C++,2
layer,layer,layer,MCSLinv: An inverse Monte Carlo code  to calculate optical scattering parameters in C++,2
optical:0:scattering,scattering optical,optical scattering ,MCSLinv: An inverse Monte Carlo code  to calculate optical scattering parameters in C++,2
code,code,code,MCSLinv: An inverse Monte Carlo code  to calculate optical scattering parameters in C++,3
rh:0:streater:1:main:0:article,rh main article streater,main article RH Streater,MCSLinv: An inverse Monte Carlo code  to calculate optical scattering parameters in C++,3
optical:0:scattering:1:light:0:scattering,light scattering optical,light scattering optical scattering ,MCSLinv: An inverse Monte Carlo code  to calculate optical scattering parameters in C++,4
light:0:scattering,scattering light,light scattering ,MCSLinv: An inverse Monte Carlo code  to calculate optical scattering parameters in C++,2
optical:1:scatter:0:parameter:2:calculate,parameter calculate scatter optical,calculate optical scattering parameters ,MCSLinv: An inverse Monte Carlo code  to calculate optical scattering parameters in C++,3
monte:0:carlo:1:code,code carlo monte,Monte Carlo code ,MCSLinv: An inverse Monte Carlo code  to calculate optical scattering parameters in C++,2
physics,physics,Physics,MCSLinv: An inverse Monte Carlo code  to calculate optical scattering parameters in C++,3
molybdenum:2:x:1:ray:0:spectrum,ray molybdenum x spectrum,molybdenum x-ray spectrum,Molybdenum k-shell xray emission spectrum,2
molybdenum,molybdenum,molybdenum,Molybdenum k-shell xray emission spectrum,3
ray:0:spectrum,ray spectrum,ray spectrum,Molybdenum k-shell xray emission spectrum,2
ray,ray,ray,Molybdenum k-shell xray emission spectrum,4
spectrum,spectrum,spectrum,Molybdenum k-shell xray emission spectrum,3
emission,emission,emission,Molybdenum k-shell xray emission spectrum,3
km,km,km,Molybdenum k-shell xray emission spectrum,3
kl,kl,kl,Molybdenum k-shell xray emission spectrum,2
datum,datum,data,Molybdenum k-shell xray emission spectrum,4
xray,xray,xray,Molybdenum k-shell xray emission spectrum,3
alpha,alpha,alpha,Molybdenum k-shell xray emission spectrum,3
emission:0:spectrum,emission spectrum,emission spectrum,Molybdenum k-shell xray emission spectrum,2
shell,shell,shell,Molybdenum k-shell xray emission spectrum,2
reference:0:datum:1:standard,standard datum reference,Standards Reference data,Molybdenum k-shell xray emission spectrum,2
standard,standard,Standards,Molybdenum k-shell xray emission spectrum,2
metrology,metrology,Metrology,Molybdenum k-shell xray emission spectrum,3
datum,datum,data,Copper k-alpha xray emission spectrum,7
induce,induce,induced,Copper k-alpha xray emission spectrum,2
copper,copper,copper,Copper k-alpha xray emission spectrum,4
k:0:alpha,alpha k,k-alpha ,Copper k-alpha xray emission spectrum,3
k,k,k,Copper k-alpha xray emission spectrum,3
alpha,alpha,alpha,Copper k-alpha xray emission spectrum,7
ray:1:emission:0:spectrum,ray emission spectrum,ray emission spectrum,Copper k-alpha xray emission spectrum,2
ray,ray,ray,Copper k-alpha xray emission spectrum,4
emission:0:spectrum,emission spectrum,emission spectrum,Copper k-alpha xray emission spectrum,3
emission,emission,emission,Copper k-alpha xray emission spectrum,3
spectrum,spectrum,spectrum,Copper k-alpha xray emission spectrum,3
representation,representation,representations,Copper k-alpha xray emission spectrum,3
raw:0:close,raw close,close to 'raw,Copper k-alpha xray emission spectrum,2
file,file,file,Copper k-alpha xray emission spectrum,3
contain,contain,contains,Copper k-alpha xray emission spectrum,2
second:0:file,second file,second file ,Copper k-alpha xray emission spectrum,2
square,square,squares,Copper k-alpha xray emission spectrum,3
xray,xray,xray,Copper k-alpha xray emission spectrum,3
metrology,metrology,Metrology,Copper k-alpha xray emission spectrum,3
radiation:0:metrology:1:ionize,ionize metrology radiation,Ionizing radiation metrology,Copper k-alpha xray emission spectrum,2
quantum:0:molecular:1:atomic:2:physics,molecular physics atomic quantum,Physics Atomic molecular and quantum,Copper k-alpha xray emission spectrum,2
physics,physics,Physics,Copper k-alpha xray emission spectrum,3
standard,standard,Standards,Copper k-alpha xray emission spectrum,2
web:0:base:1:validation:0:system,system web validation base,web-based validation system ,2D Segmentation of Concrete Samples for Training AI Models,2
web,web,web,2D Segmentation of Concrete Samples for Training AI Models,2
base,base,based,2D Segmentation of Concrete Samples for Training AI Models,3
validation,validation,validations,2D Segmentation of Concrete Samples for Training AI Models,4
system,system,system,2D Segmentation of Concrete Samples for Training AI Models,2
sem:0:image,sem image,SEM images ,2D Segmentation of Concrete Samples for Training AI Models,2
image,image,images,2D Segmentation of Concrete Samples for Training AI Models,3
electron:0:microscopy,electron microscopy,electron microscopy ,2D Segmentation of Concrete Samples for Training AI Models,2
microscopy,microscopy,microscopy,2D Segmentation of Concrete Samples for Training AI Models,2
concrete:0:sample:1:class:0:segmentation,class segmentation sample concrete,class segmentation of concrete samples ,2D Segmentation of Concrete Samples for Training AI Models,2
segmentation,segmentation,segmentation,2D Segmentation of Concrete Samples for Training AI Models,2
visual:0:validation,visual validation,visual validation ,2D Segmentation of Concrete Samples for Training AI Models,2
goal,goal,goal,2D Segmentation of Concrete Samples for Training AI Models,6
air:0:void,void air,air voids,2D Segmentation of Concrete Samples for Training AI Models,4
air,air,air,2D Segmentation of Concrete Samples for Training AI Models,2
void,void,voids,2D Segmentation of Concrete Samples for Training AI Models,2
aggregate:0:damage,damage aggregate,aggregate damage,2D Segmentation of Concrete Samples for Training AI Models,5
damage,damage,damage,2D Segmentation of Concrete Samples for Training AI Models,19
damage:0:sub,damage sub,damage sub,2D Segmentation of Concrete Samples for Training AI Models,6
sub,sub,sub,2D Segmentation of Concrete Samples for Training AI Models,4
class,class,classes,2D Segmentation of Concrete Samples for Training AI Models,5
paste,paste,paste,2D Segmentation of Concrete Samples for Training AI Models,2
damage:0:damage,damage,-damage and damage ,2D Segmentation of Concrete Samples for Training AI Models,2
automatically:0:segment,segment automatically,segment automatically ,2D Segmentation of Concrete Samples for Training AI Models,2
goal:0:include,goal include,included in the goal,2D Segmentation of Concrete Samples for Training AI Models,3
damage:0:sub:1:assign,damage assign sub,assigning damage sub,2D Segmentation of Concrete Samples for Training AI Models,2
context:0:provide,provide context,provide context ,2D Segmentation of Concrete Samples for Training AI Models,2
web:0:validation:1:system,system web validation,web validation system ,2D Segmentation of Concrete Samples for Training AI Models,2
model,model,models,2D Segmentation of Concrete Samples for Training AI Models,3
segmentation:0:model,segmentation model,segmentation models ,2D Segmentation of Concrete Samples for Training AI Models,2
level,level,level,2D Segmentation of Concrete Samples for Training AI Models,2
ai:0:model:1:purpose,purpose ai model,purpose of the AI models ,2D Segmentation of Concrete Samples for Training AI Models,2
ai:0:model,ai model,AI models ,2D Segmentation of Concrete Samples for Training AI Models,2
damage:0:label,damage label,damage labels,2D Segmentation of Concrete Samples for Training AI Models,5
label,label,labels,2D Segmentation of Concrete Samples for Training AI Models,3
accurately:0:predict,predict accurately,predict accurately ,2D Segmentation of Concrete Samples for Training AI Models,2
predict,predict,predicted,2D Segmentation of Concrete Samples for Training AI Models,2
b:1:contextual:0:label,b label contextual,contextual labels and (b) ,2D Segmentation of Concrete Samples for Training AI Models,2
contextual:0:label,label contextual,contextual labels ,2D Segmentation of Concrete Samples for Training AI Models,2
prediction,prediction,predictions,2D Segmentation of Concrete Samples for Training AI Models,3
trust:0:assert,assert trust,assert trust ,2D Segmentation of Concrete Samples for Training AI Models,2
additively:0:manufacture,additively manufacture,additively manufactured ,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
manufacture,manufacture,manufactured,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
scan:0:speed,speed scan,scan speed ,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
processing:0:parameter,processing parameter,processing parameters ,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,3
processing,processing,processing,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,3
parameter,parameter,parameters,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,3
vary,vary,varying,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
laser:2:powder:1:bed:0:fusion,fusion laser powder bed,Laser powder bed fusion,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
laser,laser,laser,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,3
powder:1:bed:0:fusion,fusion powder bed,powder bed fusion ,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
powder,powder,powder,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,3
bed:0:fusion,fusion bed,bed fusion,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,4
bed,bed,bed,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,3
fusion,fusion,fusion,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,3
produce,produce,produced,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
cobalt:0:chrome:1:sample,chrome cobalt sample,cobalt chrome samples ,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
cobalt:0:chrome,chrome cobalt,cobalt chrome ,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
cobalt,cobalt,cobalt,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
chrome,chrome,chrome,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
sample,sample,sample,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,11
reconstruct,reconstruct,reconstructed,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
data,data,data,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
x:3:xct:2:ray:1:compute:0:tomography,ray x xct tomography compute,X-ray computed tomography (XCT) ,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
x,x,X,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,3
xct:2:ray:1:compute:0:tomography,ray tomography compute xct,ray computed tomography (XCT) ,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,5
ray:1:compute:0:tomography,ray tomography compute,ray computed tomography (,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,4
ray,ray,ray,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,3
compute:0:tomography,tomography compute,computed tomography ,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,5
compute,compute,computed,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,3
tomography,tomography,tomography,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,3
contain,contain,contains,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
µm,µm,µm,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,3
part,part,parts,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
defect,defect,defect,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,3
heat:0:treatment,heat treatment,heat treatment ,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
processing:0:step,processing step,processing step ,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,3
build:1:cocr:0:disk,cocr build disk,as-built CoCr disks ,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
build,build,built,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,3
disk,disk,disk,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,3
mm,mm,mm,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,4
diameter,diameter,diameter,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
cylinder,cylinder,cylinders,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,3
